nu metal,metal
death metal,metal
deathcore,metal
djent,metal
doom metal,metal
drone,metal
folk metal,metal
glam metal,metal
gothic metal,metal
grindcore,metal
groove metal,metal
hair metal,metal
hardcore metal,metal
hard metal,metal
heavy metal,metal
industrial metal,metal
kawaii metal,metal
math metal,metal
mathcore,metal
metalcore,metal
modern metal,metal
neoclassical metal,metal
pagan metal,metal
pirate metal,metal
post hardcore,metal
post metal,metal
power metal,metal
progressive metal,metal
sludge,metal
speed metal,metal
stoner metal,metal
symphonic metal,metal
technical death metal,metal
thrash metal,metal
viking metal,metal
chap hop,hip-hop
christian hip hop,hip-hop
conscious hip hop,hip-hop
grunk,hip-hop
crunkcore,hip-hop
rap,hip-hop
east-coast rap,hip-hop
dirty south,hip-hop
alternative rap,hip-hop
old school rap,hip-hop
underground rap,hip-hop
west coast rap,hip-hop
east coast hip hop,hip-hop
brick city club,hip-hop
hardcore hip hop,hip-hop
mafioso rap,hip-hop
new jersey hip hop,hip-hop
freestyle rap,hip-hop
g-funk,hip-hop
gangster rap,hip-hop
hip pop,hip-hop
industrial hip hop,hip-hop
instrumental hip hop,hip-hop
jazz rap,hip-hop
low bap,hip-hop
lyrical hip hop,hip-hop
midwest hip hop,hip-hop
chicago hip hop,hip-hop
detroit hip hop,hip-hop
st. louis hip hop,hip-hop
twin cities hip hop,hip-hop
new jack swing,hip-hop
new school hip hop,hip-hop
turntablism,hip-hop
alternative folk,folk
contemporary folk,folk
indie folk,folk
folk rock,folk
traditional folk,folk
american folk revival,folk
anti-folk,folk
british folk revival,folk
filk music,folk
freak folk,folk
industrial folk,folk
neofolk,folk
folk pop,folk
progressive folk,folk
psychadelic folk,folk
techno-folk,folk
avant-garde,classical
ballet,classical
cantata,classical
string quartet,classical
chant,classical
choral,classical
concerto,classical
concerto grosso,classical
contemporary classical,classical
expressionist,classical
high classical,classical
modern composition,classical
modern classical,classical
opera,classical
orchestral,classical
organum,classical
renaissance,classical
sonata,classical
symphonic,classical
symphony,classical
acid jazz,jazz
afro-cuban jazz,jazz
bebop,jazz
big band,jazz
blue note,jazz
british dance band,jazz
cape jazz,jazz
chamber jazz,jazz
contemporary jazz,jazz
cool jazz,jazz
crossover jazz,jazz
dark jazz,jazz
dixieland,jazz
early jazz,jazz
ethio jazz,jazz
ethno jazz,jazz
european free jazz,jazz
funk jazz,jazz
free jazz,jazz
fusion,jazz
gypsy jazz,jazz
bop,jazz
hard bop,jazz
neo bop,jazz
post bop,jazz
indo jazz,jazz
jazz fusion,jazz
jazz rock,jazz
kansas city jazz,jazz
modal jazz,jazz
neo-swing,jazz
nu jazz,jazz
punk jazz,jazz
ragtime jazz,jazz
ska jazz,jazz
smooth jazz,jazz
soul jazz,jazz
swing jazz,jazz
straight-ahead jazz,jazz
trad jazz,jazz
third stream,jazz
west coast jazz,jazz
contemporary r&b,jazz
disco,jazz
funk,jazz
modern soul,jazz
neo-soul,jazz
northern soul,jazz
psychadelic soul,jazz
southern soul,jazz
soul,jazz
motown,jazz
quiet storm,jazz
roots reggae,reggae
reggae fusion,reggae
raggamuffin,reggae
ragga,reggae
dancehall raggamuffin,reggae
ska jazz,reggae
rocksteady,reggae
ska,reggae
comedy,other
jazz funk,r&b
retro soul,r&b
soul,r&b
funk,r&b
